"max","facilityname","concatenatedaddress","inspectionstatus"
"2016-02-03 00:00:00","VOSS CREAMERY","1317 S VOSS HOUSTON TX 77057","PASS"
"2016-04-01 00:00:00","JR'S BAR-B-Q","102 MCCARTY ST HOUSTON TX 77029","PASS"
"2016-03-15 00:00:00","VICTORY FAMILY OUTREACH BAKERY","4105 AIRLINE DR STE A HOUSTON TX 77022","PASS"
"2016-04-21 00:00:00","JOLLY CHEF # 8 - Mobile Caterers of Texas","3515 EASTEX FWY HOUSTON TX 77026","PASS"
"2016-03-23 00:00:00","LA SABROSITA MEAT MARKET #2","9495 KEMPWOOD DR HOUSTON TX 77080-2838","FAIL"
"2015-11-10 00:00:00","LIFETIME FITNESS","815 TOWN AND COUNTRY LN STE BLDG. 4 HOUSTON TX 77024","PASS"
"2015-09-22 00:00:00","ST. JAMES METHODIST CHURCH","1217 WILSON HOUSTON TX 77019","PASS"
"2015-11-05 00:00:00","CHIPOTLE MEXICAN GRILL #2279","1249 NORTH LOOP WEST STE 100 HOUSTON TX 77008","PASS"
"2016-01-07 00:00:00","TEL-WINK GRILL","4318 TELEPHONE HOUSTON TX 77087","PASS"
"2015-12-11 00:00:00","LE PEEP","6128 VILLAGE PARKWAY HOUSTON TX 77005","PASS"
"2016-02-07 00:00:00","BEST BUY #2510","100 MEYERLAND PLAZA HOUSTON TX 77096","PASS"
"2016-02-25 00:00:00","M & R FOOD MART","8788 HAMMERLY STE A HOUSTON TX 77080","PASS"
"2016-04-28 00:00:00","JACK IN THE BOX #640","4400 W FUQUA HOUSTON TX 77045","PASS"
"2016-05-22 00:00:00","CICI'S PIZZA","11803 WILCREST STE X HOUSTON TX 77031","PASS"
"2015-10-05 00:00:00","COST PLUS WORLD MARKET","17355 TOMBALL PKWY STE 1H HOUSTON TX 77064","PASS"
"2016-01-19 00:00:00","KOJAK'S","1912 W 18TH HOUSTON TX 77008","PASS"
"2016-05-30 00:00:00","ABE'S CAJUN MARKET","1080 CLEAR LAKE CITY  BLVD STE D HOUSTON TX 77062","PASS"
"2015-11-16 00:00:00","BONJOUR CREPERIE - DIANA'S","1001  BISSONNET ST HOUSTON TX 77005","PASS"
"2016-04-27 00:00:00","CAFE CANAAN","5803 BELLAIRE (INSIDE CAR WASH) HOUSTON TX 77081","PASS"
"2015-07-17 00:00:00","ABE'S CAJUN MARKET","1080 CLEAR LAKE CITY  BLVD STE D HOUSTON TX 77062","FAIL"
"2015-10-09 00:00:00","BUILDING AND RESTORING HOPE ADULT DAY CARE","12805 CULLEN BLVD STE B-G1 HOUSTON TX 77047","PASS"
"2015-11-12 00:00:00","LIQUOR CABINET","2615 MILLS BRANCH DR STE B KINGWOOD TX 77345","PASS"
"2016-02-22 00:00:00","SICILY PIZZA & PASTA-WESTHEIMER","6516 WESTHEIMER STE K HOUSTON TX 77057","PASS"
"2016-06-09 00:00:00","KID N PLAY","10560 FUQUA HOUSTON TX 77089","PASS"
"2015-07-31 00:00:00","SALATA","303 MEMORIAL CITY MALL STE 728 HOUSTON TX 77024","PASS"
"2016-03-22 00:00:00","SHOP N GO","6001 BISSONNET STE A HOUSTON TX 77081","PASS"
"2015-12-10 00:00:00","PAUL REVERE MIDDLE SCHOOL","10502 BRIAR FOREST HOUSTON TX 77042","PASS"
"2015-10-16 00:00:00","COUNTRY INN & SUITES","15555 JOHN F. KENNEDY BLVD STE B HOUSTON TX 77032","PASS"
"2016-03-12 00:00:00","NOT JUS' DONUTS BAKERY","2020 DOWLING ST Houston TX 77003","PASS"
"2016-06-28 00:00:00","BURGER KING # 55","187 W DYNA DR HOUSTON TX 77037-1121","PASS"
"2016-02-08 00:00:00","DISTRIBUDOR MI JALISCO","10602 BAUMAN HOUSTON TX 77076","PASS"
"2015-07-02 00:00:00","CHILOS SEAFOOD RESTAURANT","8334 GULF  FWY HOUSTON TX 77017","PASS"
"2015-08-25 00:00:00","STEVENSON MIDDLE SCHOOL","9595 WINKLER HOUSTON TX 77017","PASS"
"2015-08-31 00:00:00","COCINA JARRITOS","555 NORTHWEST MALL STE 288 HOUSTON TX 77092","PASS"
"2016-02-29 00:00:00","SUB ROC","3355 W ALABAMA STE 120 HOUSTON TX 77027","PASS"
"2015-09-21 00:00:00","SOMETHING SPECIAL DAYCARE","9602 FULTON HOUSTON TX 77076","PASS"
"2016-01-22 00:00:00","DURHAM ELEMENTARY","4803 BRINKMAN HOUSTON TX 77018","PASS"
"2015-07-28 00:00:00","THE SHAMROCK INN","9161 S GESSNER HOUSTON TX 77074","PASS"
"2016-06-21 00:00:00","TAQUERIA ARANDAS UVALDE","920 UVALDE HOUSTON TX 77015","PASS"
"2015-12-18 00:00:00","J & B FOOD MARKET","3637 SUNBEAM HOUSTON TX 77051","PASS"
"2015-07-15 00:00:00","COCINA TIERRA CALIENTE-SOUTH WEST","5900 S GESSNER HOUSTON TX 77036","PASS"
"2016-04-11 00:00:00","CHINA STAR SEAFOOD BUFFET","12621 EAST FWY HOUSTON TX 77015","FAIL"
"2016-01-06 00:00:00","BURGER KING #51","4676 BELLFORT HOUSTON TX 77051","PASS"
"2015-08-28 00:00:00","EXXON - TIMEWISE FOOD STORE #74","11101 S SAM HOUSTON PKWY E HOUSTON TX 77089","PASS"
"2016-05-25 00:00:00","SUNMART #139","3200 HOLCOMBE HOUSTON TX 77021","PASS"
"2016-02-01 00:00:00","DONUT  WORLD","2567 GESSNER DR STE A HOUSTON TX 77080","FAIL"
"2016-02-18 00:00:00","FM EXPRESS FOOD MART","7208 WESTVIEW HOUSTON TX 77055","PASS"
"2015-09-15 00:00:00","SONIC DRIVE IN #6139","11390 MONROE RD HOUSTON TX 77075","PASS"
"2015-08-14 00:00:00","COM TAM BAN TOI","11528 BELLAIRE BLVD STE C HOUSTON TX 77072","PASS"
"2016-02-16 00:00:00","JUS' MAC INC.","2617 YALE ST HOUSTON TX 77008","PASS"
"2016-04-27 00:00:00","ROBINDELL PRIVATE SCHOOL","5715 DASHWOOD HOUSTON TX 77081","PASS"
"2015-07-31 00:00:00","TAQUERIA D.F. - Texas Commissary # 2","8685 HAMMERLY BLVD HOUSTON TX 77055","PASS"
"2016-01-25 00:00:00","LE CHATEAU FINE WINE # SP","6344 WOODWAY HOUSTON TX 77057","PASS"
"2016-01-19 00:00:00","THE CORNER DELI","12121 RICHMOND STE 130 HOUSTON TX 77082","PASS"
"2016-04-25 00:00:00","SUNCO  MARKET PLACE","8015 DE PRIEST STE B HOUSTON TX 77088","PASS"
"2016-01-13 00:00:00","MAYO TEXACO","4916 KELLEY HOUSTON TX 77026","PASS"
"2016-06-01 00:00:00","HAPPY ALL","2502 W HOLCOMBE HOUSTON TX 77030","PASS"
"2016-05-13 00:00:00","SHERATON SUITES","2400 WEST LOOP SOUTH HOUSTON TX 77027","PASS"
"2016-05-24 00:00:00","NORTH MAIN C.O.G.I.C. (CHURCH)","7206 N MAIN HOUSTON TX 77022","PASS"
"2016-05-05 00:00:00","EURASIA FUSION SUSHI","1330 WIRT RD HOUSTON TX 77055","FAIL"
"2016-03-10 00:00:00","COREANO'S  -  TEXSTAR","2303 SMITH ST HOUSTON TX 77006","PASS"
"2015-12-08 00:00:00","EXPRESS FUEL #6","802 HIGHWAY 6 HOUSTON TX 77079","PASS"
"2015-11-20 00:00:00","CRAWFISH CAFE","11209 BELLAIRE BLVD STE C36 HOUSTON TX 77072","PASS"
"2016-02-01 00:00:00","ALMEDA PLAZA CHEVRON","12202 ALMEDA RD HOUSTON TX 77045","PASS"
"2015-11-23 00:00:00","IRMA'S","22 N CHENEVERT HOUSTON TX 77002","FAIL"
"2015-08-04 00:00:00","LONG PHUNG FOOD PRODUCTS","5617 HOOVER STE A HOUSTON TX 77092","PASS"
"2016-05-26 00:00:00","HARTZ CHICKEN #193","205 W EL DORADO BLVD FRIENDSWOOD TX 77546","PASS"
"2015-12-31 00:00:00","FRENCHY'S CHICKEN","10414 RICHMOND AVE STE C HOUSTON TX 77042","PASS"
"2015-08-20 00:00:00","CARMELO'S RESTAURANT","14795 MEMORIAL HOUSTON TX 77079","FAIL"
"2015-10-24 00:00:00","INTERNATIONAL GRILL","6121 HILLCROFT STE R HOUSTON TX 77081","PASS"
"2015-12-11 00:00:00","STAR STOP 28","7410 CULLEN HOUSTON TX 77051-1714","PASS"
"2015-10-07 00:00:00","COCO'S","5555 WASHINGTON AVE STE V HOUSTON TX 77007","FAIL"
"2016-06-29 00:00:00","SPEEDY  MART","1002 N SHEPHERD DR HOUSTON TX 77008","PASS"
"2015-08-10 00:00:00","HONG LONG VIETNAMESE RESTAURANT","18405 TOMBALL  PKWY STE 6 HOUSTON TX 77070","PASS"
"2016-01-12 00:00:00","WOODVIEW ELEMENTARY SCHOOL","9749 CEDARDALE DR HOUSTON TX 77055","PASS"
