"max","facilityname","concatenatedaddress","inspectionstatus"
"2016-05-11 00:00:00","TEXAS CHILDREN'S HOSPITAL","6621 FANNIN STE MC2-3521 HOUSTON TX 77030","PASS"
"2016-03-14 00:00:00","DON CARLOS MEXICAN RESTAURANT","416 N 76TH HOUSTON TX 77012","PASS"
"2015-11-04 00:00:00","TAQUERIA EL CHARRO #3","10860 BEECHNUT HOUSTON TX 77072","PASS"
"2016-05-25 00:00:00","AKASAKA JAPANESE RESTAURANT AND LOUNGE","6833 W SAM HOUSTON PKWY S STE 109 HOUSTON TX 77072","PASS"
"2015-07-08 00:00:00","US VETS","4640 MAIN STE BLDG-1 HOUSTON TX 77002","PASS"
"2016-03-04 00:00:00","STEPPING STONE CHARTER SCHOOL","11001 WILCREST STE 100 HOUSTON TX 77099","PASS"
"2015-07-02 00:00:00","LOUISIANA FAMOUS FRIED CHICKEN","9450 CULLEN  BLVD HOUSTON TX 77051","PASS"
"2016-03-30 00:00:00","VALERO CORNER STORE # 2615","11101 BRIAR FOREST  DR HOUSTON TX 77042","PASS"
"2015-12-07 00:00:00","PATTERSON ELEMENTARY","5302 ALLENDALE HOUSTON TX 77017","PASS"
"2015-07-02 00:00:00","MURPHY'S DELI","1200 MCKINNEY STE 337 HOUSTON TX 77010","PASS"
"2016-05-19 00:00:00","HARTZ #111","1215 PINEMONT HOUSTON TX 77018-1303","FAIL"
"2015-10-22 00:00:00","POPEYES #7","4919 AIRLINE HOUSTON TX 77022","PASS"
"2016-01-07 00:00:00","TAQUERIAS   MICHOACAN","183 ALDINE BENDER RD STE B HOUSTON TX 77060","PASS"
"2016-02-02 00:00:00","SMASHBURGER 1027","5220 BUFFALO SPEEDWAY HOUSTON TX 77005","PASS"
"2015-09-21 00:00:00","$1.00 PLUS","14366 MEMORIAL STE C HOUSTON TX 77079","PASS"
"2016-05-12 00:00:00","TACO PATRON  -  MI JALISCO","7824 IRVINGTON BLVD HOUSTON TX 77022","PASS"
"2016-02-16 00:00:00","FROSTED BETTY BAKE SHOP - FBBS # 417127","19023 VILLAGE MAPLE CT HOUSTON TX 77084","PASS"
"2015-11-10 00:00:00","DANNY'S DONUTS","12700 SCARSDALE HOUSTON TX 77089","PASS"
"2015-08-28 00:00:00","CERRITOS","7036 HARRISBURG HOUSTON TX 77011","PASS"
"2015-10-15 00:00:00","CHEVRON 314 /SUBWAY","7614 LYONS AVE HOUSTON TX 77020","PASS"
"2015-07-14 00:00:00","ORIENTAL GARDENS","1528 KINGWOOD  DR KINGWOOD TX 77339","PASS"
"2015-11-03 00:00:00","INDIA HOUSE @ ( 0. P. Jindal  Center)","8888 W BELLFORT HOUSTON TX 77031","PASS"
"2016-01-29 00:00:00","ROYAL RESTAURANT","11919 BISSONNET STE A6 HOUSTON TX 77099","PASS"
"2016-01-19 00:00:00","TORTILLERIA & TAQUERIA LA RENYA","6711 RAMPART ST STE 112 HOUSTON TX 77081","PASS"
"2015-09-04 00:00:00","SHIPLEY DONUTS","14135 NORTHWEST  FWY STE A1 HOUSTON TX 77040","PASS"
"2016-06-13 00:00:00","BISTECCA  RISTORANTE","224 WESTHEIMER HOUSTON TX 77006","PASS"
"2015-12-30 00:00:00","PAPPASITO'S CANTINA","11831 EAST  FWY HOUSTON TX 77029","PASS"
"2015-08-14 00:00:00","CHINA STAR BUFFET","6888 GULF  FWY STE 500 HOUSTON TX 77087","PASS"
"2016-06-15 00:00:00","ESSENTIALS BY CHEF MARTINEZ","2901 WILCREST STE 137 HOUSTON TX 77042","PASS"
"2016-03-09 00:00:00","RISING ROLL  GOURMET","12140 GREENSPOINT DR HOUSTON TX 77060","PASS"
"2016-05-10 00:00:00","PRINCE & PRINCESS DAYCARE","8085 W AIRPORT HOUSTON TX 77071","PASS"
"2015-07-28 00:00:00","PERICOS MEXICAN CAFE AND BAR","2701 MANGUM HOUSTON TX 77092","PASS"
"2016-05-26 00:00:00","ALMEDA FOOD STORE","4720 ALMEDA GENOA STE 106 HOUSTON TX 77048-4662","PASS"
"2015-07-29 00:00:00","EL REGIO POLLO ASADO","61 TIDWELL HOUSTON TX 77022","PASS"
"2015-10-27 00:00:00","HAPPY VALLEY RESTAURANT","9889 BELLAIRE BLVD STE 306 HOUSTON TX 77036","PASS"
"2016-01-05 00:00:00","BECK'S PRIME","2902 KIRBY HOUSTON TX 77098","PASS"
"2016-03-28 00:00:00","TACO CABANA #343","167 YALE ST HOUSTON TX 77007","FAIL"
"2016-05-27 00:00:00","YELLOW CROSS","9950 KLECKLEY DR STE E HOUSTON TX 77075","FAIL"
"2016-03-31 00:00:00","NAVARRO'S  $1 Y MAS","6812 CANAL STE B Houston TX 77011","PASS"
"2015-07-06 00:00:00","PLAYA EL CUCO RESTAURANT","436 E CROSSTIMBERS HOUSTON TX 77022","FAIL"
"2015-11-05 00:00:00","TAQUERIA LA JALICIENSE","6503 AIRLINE DR STE A HOUSTON TX 77076","FAIL"
"2016-05-10 00:00:00","DEAN'S GROCERY DELI","7127 FANNIN HOUSTON TX 77030","PASS"
"2016-04-27 00:00:00","NEETAS INDIAN CUISINE","6688 SOUTHWEST FWY HOUSTON TX 77074","PASS"
"2015-07-08 00:00:00","TAQUERIA DE MI POLLITO - Palacios","7530 HARRISBURG HOUSTON TX 77012","PASS"
"2015-11-23 00:00:00","CALIENTE","790 W SAM HOUSTON PKWY N STE 112 HOUSTON TX 77024","PASS"
"2015-10-22 00:00:00","EL PALENQUE MEXICAN RESTAURANT","10803 WESTHEIMER HOUSTON TX 77042","PASS"
"2016-06-29 00:00:00","CANDY MAN CATERING","11700 KATY FWY STE 120 HOUSTON TX 77079","PASS"
"2016-05-03 00:00:00","LUCKY VILLAGE CHINESE BUFFET","10755 WESTHEIMER HOUSTON TX 77042","PASS"
"2016-03-30 00:00:00","SAINT DANES","502 ELGIN HOUSTON TX 77006","PASS"
"2016-04-26 00:00:00","FUTURE SCHOLARS OF AMERICA","7306 W TIDWELL STE 120 HOUSTON TX 77040","PASS"
"2016-06-09 00:00:00","TOTAL  MART","8435 TIDWELL RD HOUSTON TX 77028","PASS"
"2016-06-28 00:00:00","CHURCH'S #1117","9403 HOMESTEAD HOUSTON TX 77016","PASS"
"2015-12-09 00:00:00","SIESTA FOOD MART","6002 ANTOINE HOUSTON TX 77091","FAIL"
"2016-04-27 00:00:00","MCDONALD'S #10691","1619 SOUTH LOOP WEST HOUSTON TX 77054","PASS"
"2016-05-18 00:00:00","N.V. WASHATERIA","5828 TELEPHONE HOUSTON TX 77087","PASS"
"2016-02-12 00:00:00","WILLOW CREEK ELEMENTARY","2002 WILLOW TERRACE HUMBLE TX 77339","PASS"
"2016-05-25 00:00:00","CHURCH'S CHICKEN #1495","925 E TIDWELL HOUSTON TX 77022","FAIL"
"2016-02-23 00:00:00","MARDI GRAS GRILL","1200 DURHAM HOUSTON TX 77007","PASS"
"2016-04-12 00:00:00","MICKEY LELAND","1510 JENSEN DR HOUSTON TX 77020","PASS"
"2015-09-11 00:00:00","WORLD PRAYER MINISTRIES","12731 BISSONNET HOUSTON TX 77099","PASS"
"2016-03-21 00:00:00","ORIGINAL TIMMY CHAN'S","4208 W FUQUA HOUSTON TX 77045","PASS"
"2015-09-29 00:00:00","TACOS EL JOHNY-PALACIOS","6721 TELEPHONE RD HOUSTON TX 77061","PASS"
"2015-09-22 00:00:00","CHIPOTLE MEXICAN GRILL # 163","7600 W FM 1960 HOUSTON TX 77070","PASS"
"2015-09-23 00:00:00","GESSNER KIDDIE KOLLEGE","10826 S GESSNER HOUSTON TX 77071","PASS"
"2015-10-28 00:00:00","TIERRAS COLOMBIANAS RESTAURANT","6053 BISSONNET HOUSTON TX 77081","PASS"
"2015-11-12 00:00:00","OPEN CANDY CORPORATIONB (TARGET)","303 MEMORIAL WAY HOUSTON TX 77024","PASS"
"2015-09-17 00:00:00","LONE STAR BREAKFAST  GRILL","1800 W SAM HOUSTON PKWY NORTH HOUSTON TX 77043","PASS"
"2015-12-22 00:00:00","CAREFREE INN","10015 MAIN HOUSTON TX 77025","FAIL"
"2016-06-20 00:00:00","SARA'S FOOD MART","435 EL DORADO BLVD WEBSTER TX 77598","PASS"
"2015-08-04 00:00:00","STARBUCKS #6933","1134 WILLOWBROOK MALL HOUSTON TX 77070","FAIL"
"2015-07-09 00:00:00","CHEVRON 4303","4303 OLD SPANISH TRAIL HOUSTON TX 77021","PASS"
"2015-10-09 00:00:00","JAMES CONEY ISLAND","701 TOWN & COUNTRY BLVD STE 1700 HOUSTON TX 77024","PASS"
"2016-02-03 00:00:00","SALATA","500 DALLAS STE T-21 HOUSTON TX 77002","FAIL"
"2016-01-19 00:00:00","VALLABH PRITI SEVA SAMAJ OF HOUSTON, INC.","11715 BELLFORT VILLAGE DR HOUSTON TX 77031","PASS"
"2016-04-12 00:00:00","ICHIBAN","5015 WESTHEIMER STE 1370 HOUSTON TX 77056","PASS"
"2015-09-30 00:00:00","DON CARLOS MEXICAN RESTAURANT","416 N 76TH HOUSTON TX 77012","PASS"
"2015-08-18 00:00:00","SUBWAY 24355","7204 SOUTHWEST FWY STE B HOUSTON TX 77074","PASS"
"2016-01-07 00:00:00","MUSCLE  MAKER  GRILL","914 MAIN ST STE C HOUSTON TX 77002","FAIL"
"2015-09-16 00:00:00","MCDONALDS","6707 W SAM HOUSTON  PKWY S HOUSTON TX 77072","PASS"
"2015-08-15 00:00:00","SELLER BROTHER GROCERY","8011 ELVERA HOUSTON TX 77012","PASS"
"2016-01-28 00:00:00","TAMPICO REFRESQUERIA","3700 IRVINGTON HOUSTON TX 77009","PASS"
"2015-09-24 00:00:00","TAQUERIA LA LOCA","5738 TELEPHONE RD HOUSTON TX 77087","PASS"
"2016-01-14 00:00:00","OFFICE DEPOT #61","8202 KIRBY HOUSTON TX 77054","PASS"
"2015-08-04 00:00:00","SOUTHCREST DRIVE IN","6304 MYKAWA RD HOUSTON TX 77033","PASS"
"2015-10-22 00:00:00","CHURCH'S CHICKEN #1495","925 E TIDWELL HOUSTON TX 77022","PASS"
"2016-02-17 00:00:00","FRENCHY'S CHICKEN #103","5588 NORTH FWY HOUSTON TX 77076","PASS"
"2016-02-22 00:00:00","WORLD HARVEST OUTREACH SDA COMMUNITY SERVICES","10800 SCOTT STE A HOUSTON TX 77047","PASS"
"2016-03-08 00:00:00","O ATHLETIK","767 N SHEPHERD DR STE 300 HOUSTON TX 77007","PASS"
"2016-01-25 00:00:00","GNC","16913 EL CAMINO REAL HOUSTON TX 77058","PASS"
"2015-07-08 00:00:00","CIRO'S ITALIAN","9755 KATY  FWY HOUSTON TX 77024","PASS"
"2016-04-28 00:00:00","ANTONE'S","8057 KIRBY STE G HOUSTON TX 77054","FAIL"
"2016-02-25 00:00:00","RESTAURANT GUATEMALA","3330 HILLCROFT STE N HOUSTON TX 77057","PASS"
"2016-01-26 00:00:00","EL ROJO'S","5906 CANAL ST HOUSTON TX 77011","PASS"
"2016-06-10 00:00:00","VALERO CORNER STORE # 2386","5121 N SHEPHERD HOUSTON TX 77018","PASS"
"2016-01-15 00:00:00","CREOLE FRENCHYS","15901 S POST OAK STE D HOUSTON TX 77053","PASS"
"2015-09-03 00:00:00","LITTLE WOODROWS","2019 WALKER HOUSTON TX 77003","PASS"
"2015-12-10 00:00:00","ALONTI DELI # 8","9 GREENWAY PLAZA STE C-20 HOUSTON TX 77046","PASS"
"2015-10-22 00:00:00","CHURCH'S CHICKEN #1476","11334 HUGHES HOUSTON TX 77089","PASS"
"2015-10-28 00:00:00","SUBWAY SANDWICH AND SALADS #22538","17735 STATE HIGHWAY  249 HOUSTON TX 77064","PASS"
"2015-11-05 00:00:00","LITTLE CAESAR'S #4555","9413 MESA  RD STE B HOUSTON TX 77028","PASS"
"2015-09-21 00:00:00","EMBASSY  SUITES","11730 KATY  FWY HOUSTON TX 77079","PASS"
"2015-09-02 00:00:00","JUST FALAFEL","500 DALLAS STE T-20-B HOUSTON TX 77002","PASS"
"2016-05-05 00:00:00","THE FRESH FACTOR","2130 W HOLCOMBE STE 1300 HOUSTON TX 77030","PASS"
"2015-10-28 00:00:00","LARRY'S BAR B Q","14191 NORTHWEST  FWY HOUSTON TX 77040","PASS"
"2015-11-25 00:00:00","OMELETTE & WAFFLE","8533 BEECHNUT STE B HOUSTON TX 77036","PASS"
"2015-11-02 00:00:00","SONIC","711 LOUISIANA ST STE R200 HOUSTON TX 77002","PASS"
"2016-04-19 00:00:00","BURGER KING","14504 MEMORIAL DR STE 1 HOUSTON TX 77079","PASS"
"2016-05-24 00:00:00","BETHEL'S FAMILY CHRISTIAN ACADEMY, INC.","14442 FONMEADOW HOUSTON TX 77035","PASS"
"2016-04-25 00:00:00","LA MICHOACANA MEAT MARKET","5712 W LITTLE YORK RD HOUSTON TX 77091","FAIL"
"2016-01-11 00:00:00","MIRAGE CABARET","3416 W 34 TH ST HOUSTON TX 77092","PASS"
"2015-12-22 00:00:00","PROPOSED MR. JAMES","3102 OLD SPANISH TRAIL HOUSTON TX 77054","PASS"
"2016-01-21 00:00:00","LE PEEP","11199 WESTHEIMER Houston TX 77042","PASS"
"2016-05-25 00:00:00","BAKER-RIPLEY NEIGHBORHOOD CENTER","6500 ROOKIN HOUSTON TX 77074","PASS"
"2016-03-25 00:00:00","ENER-G DANCE STUDIO","6907 MYRTLE HOUSTON TX 77087","PASS"
"2016-01-29 00:00:00","LUKA'S BARBECUE & STEAKHOUSE","17052 SATURN LN HOUSTON TX 77058-2334","PASS"
"2016-03-29 00:00:00","CULLEN JUNIOR HIGH SCHOOL","6900 SCOTT ST HOUSTON TX 77021","PASS"
"2016-01-27 00:00:00","SUNNY STORE","9202 NATHANIEL HOUSTON TX 77075","PASS"
"2015-08-26 00:00:00","TAQUERIA GOMEZ  -  Diana's","12912 S POST OAK RD HOUSTON TX 77045","PASS"
"2015-09-02 00:00:00","RIDGEMONT EARLY CHILDHOOD DEVELOPMENT CENTER","5353 RIDGE CREEK CIRCLE HOUSTON TX 77053","PASS"
"2015-10-07 00:00:00","NEW YORK PIZZERIA","4870 BEECHNUT HOUSTON TX 77096","PASS"
"2015-09-17 00:00:00","REFRESQUERIA LOS GALLOS","11213 BEECHNUT ST HOUSTON TX 77072","PASS"
"2016-02-29 00:00:00","COMMUNITY PARTNERS FIFTHWARD ECDC","3917 COLLINSWORTH HOUSTON TX 77026","PASS"
"2016-05-10 00:00:00","STAR STOP #20","12410 WALLISVILLE RD HOUSTON TX 77013","PASS"
"2015-07-17 00:00:00","LANGLEY SUPER MARKET","10553 HOMESTEAD   RD HOUSTON TX 77016","PASS"
"2016-03-01 00:00:00","AMERICAS RESTAURANT","2040 W GRAY ST STE 200 HOUSTON TX 77019","PASS"
"2016-06-16 00:00:00","ARAMCO CAFETERIA","9009 WEST LOOP SOUTH S HOUSTON TX 77096","PASS"
"2016-03-19 00:00:00","GOLDEN DIM SUM RESTAURANT","10600 BELLAIRE BLVD STE 105 HOUSTON TX 77072","PASS"
"2015-10-15 00:00:00","CATBIRD'S","1336 WESTHEIMER HOUSTON TX 77006","PASS"
"2015-12-15 00:00:00","WENDY'S #46","210 PATTON ST HOUSTON TX 77009","PASS"
"2015-10-07 00:00:00","SKYLINE CAFE","24 E GREENWAY PLAZA STE 350 HOUSTON TX 77046","PASS"
"2015-09-30 00:00:00","PANDA PATH","8575 PITNER HOUSTON TX 77080","PASS"
"2016-03-02 00:00:00","JACK IN THE BOX #4715","6060 LONG DR HOUSTON TX 77087","PASS"
"2015-10-22 00:00:00","WHITE  CAFE","1444 BLALOCK HOUSTON TX 77055","PASS"
"2016-01-05 00:00:00","ROBBYE G'S DELI","8441 GULF FWY STE 102 HOUSTON TX 77017","PASS"
"2016-04-14 00:00:00","MARDI GRAS GRILL","1200 DURHAM HOUSTON TX 77007","PASS"
"2016-01-19 00:00:00","ALONTI DELI # 2","777 WALKER STE TUNNEL HOUSTON TX 77002","FAIL"
"2016-06-07 00:00:00","SAMMIE J'S GRILL","9717 N HOUSTON ROSSLYN HOUSTON TX 77088","PASS"
"2015-08-12 00:00:00","KFC #w150154","8787 TIDWELL HOUSTON TX 77028","PASS"
"2016-05-21 00:00:00","SAZON CATRACHO - Texas Commissary #2","9492 KEMPWOOD DR HOUSTON TX 77080","PASS"
"2015-12-02 00:00:00","TIME OUT SPORTS BAR #1","11460 FUQUA STE 100 HOUSTON TX 77089","PASS"
"2016-02-01 00:00:00","SARKU JAPAN","303 MEMORIAL CITY MALL STE 395F HOUSTON TX 77024","FAIL"
"2016-02-09 00:00:00","TIDWELL PHARMACY","509 W TIDWELL STE 140 HOUSTON TX 77091","PASS"
"2015-07-10 00:00:00","FAST MART AND FUEL #2","9700 HOMESTEAD RD STE A HOUSTON TX 77016","PASS"
"2016-04-11 00:00:00","COMFORT SUITES-HOBBY AIRPORT","9120 AIRPORT BLVD HOUSTON TX 77061","PASS"
"2015-10-22 00:00:00","FANTASY PLAZA","8503 NORTH FRWY HOUSTON TX 77037-2809","PASS"
"2016-03-29 00:00:00","NATURE'S KITCHEN","3950 S TERMINAL STE 24 HOUSTON TX 77032","PASS"
"2016-02-18 00:00:00",,,"PASS"
"2015-07-29 00:00:00","SUBWAY","303 MEMORIAL CITY MALL STE 395G HOUSTON TX 77024","PASS"
"2016-03-16 00:00:00","LUCKY DRAGON  RESTAURANT","9264 BELLAIRE BLVD HOUSTON TX 77036","PASS"
"2016-03-21 00:00:00","CHINMAYA MISSION","10353 SYNOTT SUGARLAND TX 77478","PASS"
"2016-03-21 00:00:00","TOWN IN CITY BREWING COMPANY","1125 W CAVALCADE ST HOUSTON TX 77009","PASS"
"2016-03-23 00:00:00","KIM CHAU RESTAURANT","6806 LONG POINT DR STE I HOUSTON TX 77055","PASS"
"2015-11-05 00:00:00","KIM SEAFOOD","8695 MESA DR HOUSTON TX 77028","PASS"
"2015-08-26 00:00:00","COME HOME CAFE","6776 SOUTHWEST FWY STE 101 HOUSTON TX 77074","FAIL"
"2016-02-23 00:00:00","GUADALAJARA HACIENDA","9799 KATY  FWY HOUSTON TX 77024","PASS"
"2015-11-25 00:00:00","FRENCH CORNER (HCC WEST LOOP)","5601 WEST LOOP SOUTH STE 1ST FLOOR HOUSTON TX 77081","FAIL"
"2015-11-27 00:00:00","EL SOL MARKET","6410 WINDSWEPT STE A HOUSTON TX 77057","PASS"
"2016-01-15 00:00:00","YESTERDAY CAFE","12000 BELLAIRE STE 100 HOUSTON TX 77072","PASS"
"2015-07-06 00:00:00","PINK'S PIZZA","710 W GRAY HOUSTON TX 77019","PASS"
"2016-01-20 00:00:00","TIMEWISE FOOD STORE #853","11575 S SAM HOUSTON PKWY E HOUSTON TX 77089","PASS"
"2015-10-01 00:00:00","PINK'S PIZZA","710 W GRAY HOUSTON TX 77019","PASS"
"2016-02-16 00:00:00","CHORIZO LOS 7 MICHOACANOS","6225 SOUTHWEST  FWY HOUSTON TX 77074","PASS"
"2015-12-23 00:00:00","WOODBRIDGE MINI MARKET","3033 ELGIN HOUSTON TX 77004","PASS"
"2016-02-25 00:00:00","SEOUL GARDEN RESTAURANT, LLC","9446 LONG POINT HOUSTON TX 77055","PASS"
"2016-04-30 00:00:00","EL TIGRE  -  TEXAS","1648  N GESSNER RD HOUSTON TX 77080","PASS"
"2016-02-23 00:00:00","FOUNTAINVIEW FISH","2912 FOUNTAINVIEW HOUSTON TX 77057","PASS"
"2016-06-04 00:00:00","REFRESQUERIA RIO VERDE-CAMPANA","8315 LONG POINT HOUSTON TX 77055","PASS"
"2016-05-03 00:00:00","PIZZA HUT # 312042","710 S WAYSIDE DR HOUSTON TX 77023","PASS"
"2016-06-02 00:00:00","FLO PARIS BAKERY","5757 WESTHEIMER RD STE 105 HOUSTON TX 77057","PASS"
"2016-02-03 00:00:00","CHICK-FIL-A #3071","5940 GULF FWY HOUSTON TX 77023","PASS"
"2016-05-26 00:00:00","ABU OMAR HALAL","7727 WESTHEIMER HOUSTON TX 77063","FAIL"
"2015-12-03 00:00:00","MILLER'S CAFE","3830 N SHEPHERD HOUSTON TX 77018","PASS"
"2016-02-24 00:00:00","EASTERN CHINESE RESTAURANT","2100 W 34TH ST HOUSTON TX 77018","PASS"
"2016-06-24 00:00:00","DENNY'S","12501 GULF FWY HOUSTON TX 77034","FAIL"
"2016-03-08 00:00:00","ECONO LODGE HOTEL","7905 S MAIN ST HOUSTON TX 77025","PASS"
"2016-04-26 00:00:00","SUPER SUBS","HOUSTON TX 77055","PASS"
"2015-11-10 00:00:00","RICE BOX","5 GREENWAY PLAZA STE C640 HOUSTON TX 77046","PASS"
"2016-06-16 00:00:00","SPEEDY MART #53","5643 GESSNER RD HOUSTON TX 77041","PASS"
"2015-10-09 00:00:00","CHRISTIAN'S TAILGATE BAR & GRILL","1010 N HIGHWAY 6 HOUSTON TX 77079","FAIL"
"2015-11-10 00:00:00","SWEET","801 TOWN & COUNTRY BLVD STE A-120 HOUSTON TX 77024","PASS"
"2015-10-07 00:00:00","THE GOLDEN GRILL- TX STAR, SW","1417 WESTHEIMER HOUSTON TX 77006","PASS"
"2016-04-07 00:00:00","THE LANCASTER HOTEL","701 TEXAS HOUSTON TX 77002","PASS"
"2016-03-02 00:00:00","SAMURAI NOODLE","1801 DURHAM DR HOUSTON TX 77007","FAIL"
"2015-12-17 00:00:00","SUBWAY SANDWICHES","4930 WASHINGTON HOUSTON TX 77007","PASS"
"2016-05-22 00:00:00","CAFE 14 - CHEVRON","1400 SMITH ST STE 2 HOUSTON TX 77002","PASS"
"2016-03-15 00:00:00","MATAMOROS MEAT MARKET","4953 POLK HOUSTON TX 77023","PASS"
"2016-05-15 00:00:00","NEW DUN HUANG SUPERMARKET (XIAN CAFE')","9889 BELLAIRE BLVD STE B HOUSTON TX 77036","FAIL"
"2015-09-28 00:00:00","ST. PAUL'S UNITED METHODIST CHURCH","5401 MAIN ST HOUSTON TX 77004","PASS"
"2015-10-26 00:00:00","DIMASSI'S MEDITERRANEAN BUFFET","8236 KIRBY STE 120 HOUSTON TX 77054","FAIL"
"2015-07-05 00:00:00","RENWICK FOOD MART","5920 DASHWOOD HOUSTON TX 77081","PASS"
"2015-10-22 00:00:00","MARIA'S CAFE","5400 PINEMONT  DR STE 102 HOUSTON TX 77092","PASS"
"2015-12-01 00:00:00","EL CUBANITO","5858 S GESSNER HOUSTON TX 77036","PASS"
"2016-05-15 00:00:00","MI TIERRITA RESTAURANT","5757 RANCHESTER STE 700 HOUSTON TX 77036","FAIL"
"2016-02-16 00:00:00","EL DORADO FOOD MART","501 EL DORADO BLVD STE 2 HOUSTON TX 77598","PASS"
"2016-01-08 00:00:00","CHURROS Y ANTOJITOS EL PEREGRINO  -  SOUTHWEST","7919 WESTHEIMER RD HOUSTON TX 77063","PASS"
"2016-01-26 00:00:00","WORLD CLASS BURGERS","7105 W FUQUA STE A Missouri City TX 77489","PASS"
"2015-07-06 00:00:00","TORTILLERIA AND TAQUERIA LA REYNA","3802 S GESSNER STE 200 HOUSTON TX 77063","PASS"
"2016-06-30 00:00:00","BENNIE - FERRELL CATERING","4141 HOLLISTER RD HOUSTON TX 77080","PASS"
"2016-02-24 00:00:00","CAJUN GRILL","1000 WEST OAKS MALL STE 441 HOUSTON TX 77082","PASS"
"2016-01-13 00:00:00","BURGER KING","8003 LONG POINT HOUSTON TX 77055","PASS"
"2015-09-29 00:00:00","CASA PHOENIX","6001 GULF  FWY STE C1 HOUSTON TX 77023","PASS"
"2016-06-29 00:00:00","JHF USA EXPORTS","9330  W AIRPORT BLVD STE 150 HOUSTON TX 77031","PASS"
"2015-12-13 00:00:00","TAQUERIA ARMENTAS","14364 S POST OAK HOUSTON TX 77045","PASS"
"2015-08-07 00:00:00","POPEYES #14","7416 S SAM HOUSTON PKWY HOUSTON TX 77085","PASS"
"2016-02-11 00:00:00","GREENTREE ELEMENTARY","3502 BROOKSHADOW  DR KINGWOOD TX 77345","PASS"
"2016-04-12 00:00:00","SUBWAY SANDWICHES","3885 SOUTHWEST  FWY HOUSTON TX 77027","PASS"
"2015-07-10 00:00:00","ISLAND SIZZLER","2114 HOLLY HALL HOUSTON TX 77054","PASS"
"2016-05-24 00:00:00","THE ORIGINAL OKRA CHARITY SALOON","924 CONGRESS HOUSTON TX 77002","PASS"
"2016-02-03 00:00:00","24/7 SHELL","3504 S DAIRY ASHFORD HOUSTON TX 77082","PASS"
"2015-09-01 00:00:00","PDQ SOUTHERN TEXAS BUNKER HILL","9440 KATY FWY HOUSTON TX 77055","PASS"
"2015-10-27 00:00:00","THE TASTING ROOM","818 TOWN & COUNTRY STE 100 HOUSTON TX 77024","FAIL"
"2015-12-04 00:00:00","SAM'S FOOD MARKET","3702 LAURA KOPPE HOUSTON TX 77093","PASS"
"2015-12-15 00:00:00","EL AHORRO #1","10050 LONG POINT HOUSTON TX 77055","PASS"
"2016-05-10 00:00:00","GRIF'S SHENANIGANS CAFE & BAR","3416 ROSELAND HOUSTON TX 77006","PASS"
"2016-05-11 00:00:00","MERRYLAND BAKERY","10804 BELLAIRE BLVD STE C HOUSTON TX 77072","PASS"
"2015-08-27 00:00:00","BERRYHILL - OAK FOREST","1201 W 43RD ST HOUSTON TX 77018","FAIL"
"2015-07-21 00:00:00","DOLLAR TREE # 6109","1515 LITTLE YORK RD HOUSTON TX 77093","PASS"
"2015-09-29 00:00:00","HOLLEY'S SEAFOOD RESTAURANT","3201 LOUISIANA STE 101 HOUSTON TX 77006","PASS"
"2016-06-17 00:00:00","CHILI'S GRILL AND BAR","2110 S HIGHWAY 6 Houston TX 77077","PASS"
"2016-05-27 00:00:00","EL HIDALGUENSE RESTAURANT","6917 LONG POINT HOUSTON TX 77055","PASS"
"2015-07-15 00:00:00","MYUNGDONG","6415 BISSONNET HOUSTON TX 77074","PASS"
"2015-08-17 00:00:00","MURPHY'S DELI AT ST LUKE'S","6624 FANNIN STE 160 HOUSTON TX 77030","PASS"
"2015-09-23 00:00:00","PHO 168","11113 BELLAIRE HOUSTON TX 77072","PASS"
"2015-10-15 00:00:00","MAIKO BAR & BISTRO","2946 S SHEPHERD DR HOUSTON TX 77098","PASS"
"2016-03-30 00:00:00","AR 99 CENTS PLUS","56 E CROSSTIMBERS HOUSTON TX 77022-6217","PASS"
"2016-03-18 00:00:00","TAQUERIA CASTILLO   -   GUERO","930 EDGEBROOK HOUSTON TX 77034","PASS"
"2015-07-31 00:00:00","PHO LUC LAC GRILL & RESTAURANT","9457 KEMPWOOD HOUSTON TX 77080","FAIL"
"2015-09-23 00:00:00","GOLDEN CAFE  CHINESE RESTAURANT","1430 W 19TH HOUSTON TX 77008","FAIL"
"2015-09-15 00:00:00","HANDI STOP #49","4104 W FUQUA HOUSTON TX 77045","PASS"
"2015-10-28 00:00:00","TEXAS COMMISSARY #2","8121 CASTLEFORD HOUSTON TX 77040","PASS"
"2016-05-09 00:00:00","RESTAURANT","11210 BELLAIRE STE 133 HOUSTON TX","PASS"
"2015-11-10 00:00:00","LA TAPATIA  MEXICAN CAFE #6","11920 WESTHEIMER RD STE G HOUSTON TX 77077","PASS"
"2015-08-19 00:00:00","EL MAIZAL","2535 BROADWAY HOUSTON TX 77012","PASS"
"2016-02-09 00:00:00","GATLIN'S BBQ & CATERING","3510 ELLA BLVD STE C-A HOUSTON TX 77018","PASS"
"2016-06-11 00:00:00","TAQUERIA HIDALGO - TEXAS","6637 LONG POINT HOUSTON TX 77055","PASS"
"2016-04-25 00:00:00","LIVING WORD CHURCH","7350 TC JESTER HOUSTON TX 77088","PASS"
"2015-11-30 00:00:00","CHILOS SEAFOOD RESTAURANT","8334 GULF  FWY HOUSTON TX 77017","PASS"
"2015-12-11 00:00:00","PHO BINH NOODLE & GRILL","2916 WHITE OAK DR HOUSTON TX 77007","PASS"
